stop_name,stop_id,stop_lat,stop_lon
Kammagondanahalli Rama Temple,3zk,13.06377,77.53068
Kammagondanahalli Rama Temple,s4,13.06372,77.53064
Kammagonda‌nahalli Bridge,2a5,13.05491,77.53475
Kammanahalli,1bq,13.01766,77.6364
Kammanahalli,5gr,13.01792,77.6365
Kammanahalli Empire Hotel,1b8,13.01472,77.63579
Kammanahalli Empire Hotel,3ea,13.01475,77.63587
Kammasandra,1b0,13.14992,77.78107
Kammasandra,38r,13.07856,77.71636
Kammasandra,4bw,13.03453,77.43939
Kammasandra,4rl,13.03454,77.43946
Kammasandra,52c,13.14985,77.78102
Kammasandra,67i,13.07862,77.71644
Kammasandra Gate,12x,12.87093,77.73389
Kammasandra Gate,15r,12.87093,77.73381
Kammasandra Gate,17e,13.08168,77.71596
Kammasandra Gate,1d5,13.08163,77.71599
Kammasandra Gate,317,13.08169,77.71594
Kammasandra Palya,2mh,13.02987,77.43908
Kammasandra Palya,667,13.02985,77.43902
Kanaka Nagara,1w,13.03953,77.60736
Kanaka Nagara Gate,149,13.13828,77.43474
Kanaka Nagara Gate,601,13.13824,77.43472
Kanakadasa Circle,3h1,13.28776,77.53919
Kanakadasa Circle,5go,13.28771,77.53917
Kanakagiri Horamavu,2qp,13.04132,77.6685
Kanakashree Layout Chikka Gubbi,536,13.08675,77.6546
Kanakashree Layout Chikka Gubbi,614,13.08678,77.65474
Kanasawadi,2qm,13.20188,77.43139
Kanasawadi,65j,13.20187,77.43143
Kanchugaranahalli,668,12.72364,77.44622
Kanchugaranahalli Colony,5ei,12.71595,77.44081
Kanekal,252,12.99322,77.82307
Kanekallu Cross,28s,12.99611,77.82642
Kanekallu Cross,55c,12.99611,77.82644
Kangovi PVT LTD Kukkanahalli,518,13.15427,77.43826
Kanivemadhapura Cross,2e8,12.6959,77.58472
Kanivemadhapura Cross,2ll,12.69609,77.58476
Kanminake,1fl,12.86317,77.43352
Kanminake,2xj,12.86301,77.43382
Kanminake Colony,3s2,12.85774,77.42925
Kanminake Colony,kf,12.85818,77.42896
Kannalli,4dj,12.96755,77.45894
Kannalli,n9,12.96757,77.45886
Kannalli,wp,12.96763,77.45891
Kannamangala,18k,12.93039,77.25513
Kannamangala,3uf,12.93047,77.25509
Kannamangala,56v,13.02624,77.7697
Kannamangala Gate,38v,13.18907,77.41917
Kannamangala Gate,39r,13.18892,77.41919
Kannamangala Gate,3hm,13.03248,77.75865
Kannamangala Gate,3qj,13.03245,77.75855
Kannamangala Gate,3wp,13.20708,77.66833
Kannamangala Gate,58g,13.20694,77.66794
Kannamangala Gate,5t5,13.20729,77.66878
Kannamangala Gate,v1,13.03217,77.75872
Kannamangala Gate 2,3ru,13.0322,77.7587
Kannamangala Madhure,1mr,13.19654,77.41043
Kannamangala Madhure,52o,13.19653,77.41037
Kannamangalapalya,5z1,13.22171,77.66999
Kannamangalapalya,hz,13.22162,77.6699
Kannamangalapalya Cross,2c9,13.22954,77.67045
Kannamangalapalya Cross,65q,13.22952,77.67042
Kannamangalapalya Gate,4fc,13.22142,77.68218
Kannamangalapalya Gate,5su,13.22144,77.68213
Kannurahalli,60k,13.05984,77.80719
Kannurahalli,nv,13.06,77.80713
Kannurahalli Cross/Bekary,26x,13.06918,77.79823
Kannurahalli Cross/Bekary,ud,13.06919,77.79826
Kannurahalli Ittige Factory,331,13.05444,77.80995
Kannurahalli Ittige Factory,337,13.05415,77.80993
Kannuru,16x,13.09279,77.65472
Kannuru,42e,13.09321,77.65432
Kannuru,4cc,13.09327,77.65429
Kanshiram Nagara,4xz,13.09064,77.53892
Kanshiram Nagara,4yi,13.09061,77.5389
Kanteerava Studio,1y7,13.02164,77.53523
Kanteerava Studio,220,13.02263,77.5327
Kanteerava Studio,2qw,13.02175,77.53196
Kanteerava Studio,fy,13.02138,77.53252
Kanteerava Studio,qo,13.02158,77.53533
Kanuvanahalli,1xg,12.99504,77.3645
Kanuvanahalli,4zv,13.00525,77.38619
Kanyakumari,4xm,12.71806,77.48245
Kanyakumari,ch,12.71789,77.48239
Kapayana Doddy,4a3,12.77263,77.35414
Karapanahalli Gate,44e,13.16714,77.87852
Karapanahalli Gate,648,13.16707,77.87861
Karekal,35q,12.9932,77.82295
Karekal Cross,5zz,13.06913,77.36134
Karekal Cross,lu,12.97391,77.37388
Karekal Cross,sn,12.9736,77.37402
Karekal Doddy,3zw,12.74471,77.46495
Karekallu Doddi,43f,12.65154,77.49495
Karekalpalya,4n9,13.06995,77.40217
Karekalpalya,57b,12.93393,77.38651
Karekalpalya,77,13.06992,77.40212
Karekalpalya Cross,2y4,13.06649,77.40348
Karekalpalya Cross,3za,13.06651,77.40351
Karekalpalya Cross,4o5,12.93419,77.38151
Karekalpalya Cross,u3,12.93423,77.38154
Karenahalli,316,12.78512,77.46582
Karenahalli,4jq,12.78507,77.46582
Kari Obanahalli,5dz,13.02495,77.48656
Kari Obanahalli,671,13.02493,77.48658
Karibeeranahosahalli,2ti,13.03861,77.8614
Karibeeranahosahalli,3yc,13.03865,77.8615
Karibeeranahosahalli Cross,2u7,13.04547,77.86456
Karibeeranahosahalli Cross,36l,13.04554,77.86469
Karishma Hills,48j,12.88851,77.53621
Karishma Hills,55k,12.88865,77.53622
Karishma Hills Cross,1af,12.8888,77.54129
Karishma Hills Cross,2w7,12.88874,77.54126
Kariyanapalya,3zp,12.89182,77.52134
Kariyannanapalya Banashankari 6th Phase 1st Block,5xy,12.8928,77.52193
Kariyappana Doddy,40d,12.70408,77.56867
Kariyappana Doddy,674,12.7042,77.56876
Kariyappanapalya,1sk,12.86166,77.38359
Kariyappanapalya,71,12.86171,77.38366
Karlapura,15m,13.20673,77.49189
Karlapura Colony,3re,13.20528,77.49132
Karlapura Gate,3vl,13.20012,77.49191
Karlapura Gate,597,13.20017,77.49193
Karlapura Gate BIT,47v,13.20858,77.50091
Karlapura Gate BIT,49d,13.2086,77.50087
Karlapurapalya,4hs,13.21252,77.49573
Karnataka Slum Board Development Apartment,17g,12.8759,77.67242
Karnataka Slum Board Development Apartment,1pn,12.87595,77.67227
Karpura,275,12.72699,77.72014
Karpura Gate,2iu,12.7243,77.72083
Karpura Gate,3xt,12.73588,77.70808
Karpura Gate,4j2,12.73568,77.70798
Karpura Gate,5q6,12.7242,77.72072
Karpura Gate,647,12.72449,77.72088
Karthik Nagara,4s1,12.96821,77.7017
Karthik Nagara,568,12.96825,77.70153
Karubele,4cr,12.87503,77.46639
Kasaba,51h,13.28255,77.54732
Kasaba,5n9,13.28268,77.54732
Kasaghatta,5s6,13.2685,77.38911
Kasaghattapura,10e,13.11063,77.50441
Kasaghattapura Gate,3rp,13.11195,77.49735
Kasaghattapura Gate,5qf,13.11194,77.49731
Kasavanahalli,2r1,12.90489,77.67605
Kasavanahalli,31z,12.90495,77.67599
Kasavepalya,5v6,12.85345,77.37619
Kasthuri Nagara,3me,13.00247,77.6613
Kasthuri Nagara,48,13.00258,77.66119
Kasthurinagara,2ob,13.004,77.66328
Kasthurinagara,65n,13.00397,77.66313
Kasuvinakunte,159,12.76742,77.59743
Kasuvinakunte,1vc,12.76752,77.5974
Katamana Doddy,19q,12.82109,77.32231
Katamanallur Gate,28q,13.05373,77.76177
Katamanallur Gate,3de,13.05315,77.76198
Katamanallur Gate,514,13.05318,77.76161
Kateramma Temple Makanahalli,2u2,13.01245,77.82804
Kathriguppe,2e6,12.9251,77.54983
Kathriguppe,560,12.91547,77.76563
Kathriguppe,5da,12.9156,77.76558
Kathriguppe,5kx,12.92535,77.54989
Kathriguppe,uh,12.92534,77.55021
Kattalepalya,1wu,12.79698,77.46412
Kattalepalya,50j,12.99285,77.63631
Kattalepalya,ep,12.79684,77.46421
Kattigehalli Cross,3r1,13.12176,77.62576
Kattigenahalli,1xe,13.0236,77.877
Kattigenahalli,9f,13.02364,77.87696
Kattigenahalli Colony,35a,13.02829,77.88427
Kattigenahalli Colony,3h8,13.02831,77.88434
Kattigenahalli Cross,3cp,13.12185,77.62558
Kattigenahalli Gate,67y,13.03737,77.88741
Kattigenahalli Gate,jh,13.0373,77.88731
Kattu Gollahalli,3q5,13.09588,77.73511
Kattu Gollahalli,4tx,13.09587,77.73506
Kattu Gollahalli Gate,ng,13.0944,77.74286
Kattu Gollahalli Gate,qv,13.09438,77.74282
Kaval Byrasandra,2jq,13.01974,77.60769
Kavala Hosahalli,43h,12.72589,77.70442
Kavala Hosahalli,661,12.72591,77.70433
Kaveri Nagara,2ur,12.91974,77.5692
Kaveri Nagara,5am,12.91986,77.56931
Kebbahaala,34g,12.98553,77.50346
Kebbahaala,jz,12.9856,77.50347
Kebbepalya Gate,5vr,13.09012,77.51389
Kebbepalya Gate,r5,13.09008,77.51395
Kembaliganahalli Gate,1ws,13.13265,77.89922
Kembaliganahalli Gate,43p,13.13264,77.89921
Kembathahalli,4by,12.85596,77.57793
Kembathahalli 1,1py,12.85588,77.57786
Kembathahalli Cross,2ol,12.85528,77.58031
Kembathahalli Cross,4i5,12.85524,77.58038
Kembathahalli Cross,57g,12.85531,77.58028
Kembathahalli Cross,66,12.85513,77.58042
Kembepalya,d,12.70303,77.48093
Kembepalya,vw,12.70286,77.48085
Kempa Vaderahalli,1l4,12.73943,77.68825
Kempa Vaderahalli,2om,12.73941,77.68812
Kempadyapanahalli,1h1,12.86697,77.35426
Kempadyapanahalli,4b8,12.8669,77.35425
Kempaiahnagara,1m5,13.10821,77.4825
Kempaiahnagara,68b,13.10823,77.48246
Kempaiahnapalya,320,12.72051,77.42995
Kempaiahnapalya,dl,12.72049,77.43001
Kempaiahnapalya Cross,10r,12.73293,77.44009
Kempaiahnapalya Cross,5zb,12.73298,77.44009
Kempalinganahalli,46n,13.09457,77.37504
Kempalinganahalli,qg,13.09462,77.37497
Kempalinganahalli Cross,5yc,13.09551,77.38104
Kempalinganahalli Cross,a3,13.09556,77.38107
Kempalingapura,5oy,13.2369,77.66557
Kempalingapura,67m,13.23685,77.66548
Kempalingapura Cross,21j,13.23058,77.66461
Kempalingapura Cross,5sq,13.23052,77.66461
Kempammadevi Nagara,39t,13.06498,77.42035
Kempapura,2aa,13.09469,77.49959
Kempapura,2ki,12.81945,77.6373
Kempapura,2y0,13.05079,77.60067
Kempapura,4a2,12.81949,77.63744
Kempapura,4ca,13.09465,77.49964
Kempapura,4rw,13.04379,77.6005
Kempapura,5hw,13.0436,77.60121
Kempapura,5i2,13.05084,77.60063
Kempapura Agarahara,312,12.96912,77.55465
Kempapura Agarahara Railway Gate,up,12.96913,77.55925
Kempapura Cross,23o,13.04979,77.59987
Kempapura Cross,2l7,13.04983,77.59993
Kempashetty Doddy,195,12.7411,77.43094
Kempashetty Doddy,4xo,12.74117,77.43094
Kempashetty Doddy Gate,4v7,12.74384,77.42946
Kempashetty Doddy Gate,5lx,12.74378,77.42949
Kempathimmanahalli,33l,13.22314,77.65463
Kempathimmanahalli,6r,13.22322,77.65455
Kempathimmanahalli Cross,33o,13.22256,77.65327
Kempathimmanahalli Cross,565,13.22261,77.65323
Kempathimmanahalli Cross,ke,13.22065,77.64394
Kempegowda Arch,1f2,13.00174,77.52556
Kempegowda Arch,2hl,13.00171,77.52538
Kempegowda Bus Station,2dk,12.97751,77.57141
Kempegowda Bus Station,2pa,12.97749,77.57327
Kempegowda Bus Station(Majestic/KBS),49s,12.97793,77.57389
Kempegowda Garden,2ng,13.07733,77.52161
Kempegowda Garden,4xh,13.07728,77.52161
Kempegowda Institute Nursing Hostel,52w,12.90393,77.52969
Kempegowda International Airport,20o,13.19904,77.70871
Kempegowda International Airport,42s,13.19916,77.70774
Kempegowda International Airport,483,13.19975,77.70514
Kempegowda International Airport Back Gate,2yj,13.19806,77.68058
Kempegowda International Airport Back Gate,34r,13.1982,77.67968
Kempegowda International Airport Back Gate,5ez,13.19816,77.67987
Kempegowda Swimming Pool,1oi,12.94823,77.55926
Kempegowda Swimming Pool,4t1,12.94827,77.5592
Kempu Dommasandra,n2,12.67441,77.70796
Kempu Dommasandra Cross,1c2,12.69447,77.71006
Kenchanahalli,2bx,13.11827,77.34424
Kenchanahalli,2ct,13.11826,77.34435
Kenchanakuppe,3qo,12.79551,77.37522
Kenchanakuppe Colony,2zc,12.79003,77.37627
Kenchanapalya,687,12.84452,77.44412
Kenchanapura,3sf,12.95711,77.44965
Kenchanapura,7h,12.95716,77.44958
Kenchanapura Cross,4ih,12.94151,77.49352
Kenchanapura Cross,4nz,12.94151,77.49343
Kencharayana Doddy,4f9,12.81955,77.55618
Kencharayana Doddy,4fy,12.81951,77.55612
Kendriya Sadana Koramangala,4ny,12.92598,77.62048
Kendriya Sadana Koramangala,4tp,12.92596,77.62029
Kendriya Vidyalaya,35j,13.06541,77.54415
Kendriya Vidyalaya,fz,13.06556,77.54428
Kendriya Vidyalaya ASC Center,7q,12.96676,77.61259
Kendriya Vidyalaya DRDO Quarters,4fu,12.98675,77.66408
Kendriya Vidyalaya Malleshwara,542,13.00907,77.56913
Kendriya Vihara,339,13.10643,77.60213
Kendriya Vihara,5p2,13.10653,77.60161
Kendriya Vihara Yalahanka,23l,13.10659,77.60061
Kengal Kempohalli,141,13.20886,77.26072
Kengal Kempohalli,g1,13.20898,77.26092
Kenganahalli,2nt,13.05159,77.41171
Kenganahalli,4el,13.05162,77.4116
Kengeri,2cb,12.91244,77.48543
Kengeri,3v9,12.91237,77.4854
Kengeri Bus Station,2zt,12.91406,77.48645
Kengeri Bus Station,4bk,12.91378,77.48711
Kengeri Church,2gm,12.9282,77.48642
Kengeri Church,3ng,12.92826,77.48661
Kengeri Club,232,12.9234,77.47306
Kengeri Club,4qq,12.92355,77.47297
Kengeri Ganesha Temple,2el,12.91126,77.48029
Kengeri Ganesha Temple,6j,12.91143,77.48037
Kengeri Metro Station,66c,12.90763,77.47635
Kengeri Police Station,2bz,12.91007,77.48146
Kengeri Police Station,534,12.91044,77.48206
Kengeri Post Office,1d1,12.91553,77.4819
Kengeri Post Office,602,12.91536,77.48182
Kengeri Railway Station,211,12.9168,77.48235
Kengeri Railway Station,5bs,12.91696,77.48243
Kengeri Satellite Town,1z0,12.92351,77.48483
Kengeri Satellite Town,o2,12.92332,77.48474
Kengeri Work shop,270,12.90401,77.47554
Kengunte Circle,443,12.96045,77.50473
Kengunte Circle,5jj,12.96045,77.50441
Kengunte Circle,a9,12.96033,77.50491
